Date,Time,Blower_Speed,Furnace_Temperature,Fuel_Level,Structure_Temperature,Humidity
07/06/2016,23:07:27,9,134,1,140,-24
07/06/2016,23:07:29,9,134,1,140,-24
07/06/2016,23:07:31,9,134,1,140,-24
07/06/2016,23:07:33,9,134,1,140,-24
07/06/2016,23:07:35,9,134,1,140,-24
07/06/2016,23:07:37,9,134,1,140,-24
07/06/2016,23:07:39,9,134,1,140,-24
07/06/2016,23:07:41,9,134,1,140,-24
07/06/2016,23:07:43,9,134,1,140,-24
07/06/2016,23:07:45,9,134,1,140,-24
07/06/2016,23:07:47,9,134,1,140,-24
07/06/2016,23:07:49,9,134,1,140,-24
07/06/2016,23:07:51,9,134,1,140,-24
07/06/2016,23:07:53,9,134,1,140,-24
07/06/2016,23:07:55,9,134,1,140,-24
07/06/2016,23:08:03,9,134,1,140,-24
07/06/2016,23:08:05,9,134,1,140,-24
07/06/2016,23:08:07,9,134,1,140,-24
07/06/2016,23:08:09,9,134,1,140,-24
07/06/2016,23:08:11,9,134,1,140,-24
07/06/2016,23:08:13,9,134,1,140,-24
07/06/2016,23:08:15,9,134,1,140,-24
07/06/2016,23:08:17,9,134,1,140,-24
07/06/2016,23:08:19,9,134,1,140,-24
07/06/2016,23:08:21,9,134,1,140,-24
07/06/2016,23:08:23,9,134,1,140,-24
07/06/2016,23:08:25,9,134,1,140,-24
07/06/2016,23:08:27,9,134,1,140,-24
07/06/2016,23:08:29,9,134,1,140,-24
07/06/2016,23:08:31,9,134,1,140,-24
07/06/2016,23:08:33,9,134,1,140,-24
07/06/2016,23:08:35,9,134,1,140,-24
07/06/2016,23:08:37,9,134,1,140,-24
07/06/2016,23:08:39,9,134,1,140,-24
07/06/2016,23:08:41,9,134,1,140,-24
07/06/2016,23:08:43,9,134,1,140,-24
07/06/2016,23:08:45,9,134,1,140,-24
07/06/2016,23:08:47,9,134,1,140,-24
07/06/2016,23:08:49,9,134,1,140,-24
07/06/2016,23:08:51,9,134,1,140,-24
07/06/2016,23:08:53,9,134,1,140,-24
07/06/2016,23:08:55,9,134,1,140,-24
07/06/2016,23:08:57,9,134,1,140,-24
07/06/2016,23:08:59,9,134,1,140,-24
07/06/2016,23:09:01,9,134,1,140,-24
07/06/2016,23:09:03,9,134,1,140,-24
07/06/2016,23:09:05,9,134,1,140,-24
07/06/2016,23:09:07,9,134,1,140,-24
07/06/2016,23:09:09,9,134,1,140,-24
07/06/2016,23:09:11,9,134,1,140,-24
07/06/2016,23:09:13,9,134,1,140,-24
07/06/2016,23:09:15,9,134,1,140,-24
07/06/2016,23:09:17,9,134,1,140,-24
07/06/2016,23:09:19,9,134,1,140,-24
07/06/2016,23:09:21,9,134,1,140,-24
07/06/2016,23:09:23,9,134,1,140,-24
07/06/2016,23:09:25,9,134,1,140,-24
07/06/2016,23:09:27,9,134,1,140,-24
07/06/2016,23:09:29,9,134,1,140,-24
07/06/2016,23:09:31,9,134,1,140,-24
07/06/2016,23:09:33,9,134,1,140,-24
07/06/2016,23:09:35,9,134,1,140,-24
07/06/2016,23:09:37,9,134,1,140,-24
07/06/2016,23:09:39,9,134,1,140,-24
07/06/2016,23:09:41,9,134,1,140,-24
07/06/2016,23:09:43,9,134,1,140,-24
07/06/2016,23:09:45,9,134,1,140,-24
07/06/2016,23:09:47,9,134,1,140,-24
07/06/2016,23:09:49,9,134,1,140,-24
07/06/2016,23:09:51,9,134,1,140,-24
07/06/2016,23:09:53,9,134,1,140,-24
07/06/2016,23:09:55,9,134,1,140,-24
07/06/2016,23:09:57,9,134,1,140,-24
07/06/2016,23:09:59,9,134,1,140,-24
07/06/2016,23:10:01,9,134,1,140,-24
07/06/2016,23:10:03,9,134,1,140,-24
07/06/2016,23:10:05,9,134,1,140,-24
07/06/2016,23:10:07,9,134,1,140,-24
